name,address,longitude,latitude
I-11 Markaz,"I-11, Islamabad, ICT",73.02256,33.64915
I-10 Markaz,"I 10 Markaz I-10, Islamabad",73.0407122,33.6487643
I-9 Markaz,"I 9 Markaz I-9, Islamabad",73.0558388,33.6566613
I-8 Markaz,"I 8 Markaz I-8, Islamabad",73.0752068,33.6676974
D12/4 Markaz,"PX22+83G, D-12/4 D 12/4 D-12, Islamabad",72.9502,33.7008098
F-6 Markaz,"F 6 Markaz F-6, Islamabad",73.0763135,33.7299427
F-7 Markaz,"F 7 Markaz F-7, Islamabad",73.0571301,33.7211404
F-8 Markaz,"F 8 Markaz F-8, Islamabad",73.0397898,33.7115769
F-11 Markaz,"F 11 Markaz F-11, Islamabad",72.9884995,33.6843312
F-10 Markaz,"F-10, Islamabad",73.0128546,33.6952308
G-13 Markaz,"G-13, Islamabad",72.9634038,33.6509293
G-11 Markaz,"G 11 Markaz G-11, Islamabad",72.9999393,33.6693215
G-10 Markaz,"G 10 Markaz G-10, Islamabad",73.0161755,33.6756824
G-9 Markaz,"G 9 Markaz G-9, Islamabad",73.0338865,33.6876775
G-7 Markaz,"G 7 Markaz G-7, Islamabad",73.0693043,33.7048732
G-8 Markaz,"G-8, Islamabad",73.0501203,33.6967477
G-6 Markaz,"G 6 Markaz G-6, Islamabad",73.0855357,33.7166521
